id,name,crs,description,display_name,data_source,data_verification,vintage,position
5c179daa8dbfcf4e5dd44bfe,waterway,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",,Waterway,,,,
5c179dbd8dbfcf4e7356046b,railway_line,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",,Railway Line,,,,
5c0e22728dbfcf680c63c998,power_scheduled_maintenance,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Areas affected by scheduled maintenance,Power Scheduled Maintenance,TSSPDCL website,"Geocoordinates were not available with TSSPDCL so all geotagging was done using a bulkgeocoder through Google geocoding API. Human verification is pending.
",1 April 2017 to 5 September 2018,
5c0e22298dbfcf67df0cedbf,power_substation_breakdown,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Individual unplanned breakdown locations,Power Substation Breakdown,TSSPDCL website,Geocoordinates were not available with TSSPDCL so all geotagging was done using a bulkgeocoder through Google geocoding API. Human verification is pending. ,1 April 2017 to 5 September 2018,
5bc9c2c68dbfcf4663640191,hyderabad_metro_stations,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of Hyderabad metro stations,Hyderabad Metro Stations,HMRL Website: http://hmrl.telangana.gov.in/route-map.html,Verified using Google maps,Updated as of April 2018,1
5bc9c3cf8dbfcf46636708eb,public_toilet_locations,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of public toilets,Public Toilets,Public Toilet details shared by GHMC,Data verified by GHMC,As of August 2018,1
5be2c3e58dbfcf1c789e1607,private_arogyasri_empanelled,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of all private hospitals (Aarogyasri empanelled) providing emergency care,"Emergency response hospitals, pvt.","","","",1
5bc9c3bb8dbfcf466366d38e,basti_dawakhana,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of basti dawakhanas,Basti Dawakhanas,42 dawakhanas list shared by GHMC,Geocoordinates generated via Google API; accurate location verification is pending,As of August 2018,1
5bc9c3d28dbfcf4663671243,rs_5_meal_canteens,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of Rs 5 meal canteens,Rs 5 Meal Canteens,Shared by GHMC,Data verified by GHMC,As of August 2018,1
5bc9c3d38dbfcf4663671369,long_term_housing,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}", Location of 2BHK free housing scheme developments,Long Term Housing,Shared by GHMC,Data verified by GHMC,As of August 2018,1
5bf507418dbfcf169aecd8a4,parking_spaces,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of Parking spaces in Hyderabad,Parking Spaces, Generated from Open Street Maps using Turbo Overpass,Pending.,As of November 2018. ,1
5be3ea2c8dbfcf56c17bb3b3,live_traffic,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Live traffic feed from Google,Live Traffic,Google API,Verified by Google. ,Real-time,1
5bebda188dbfcf35f7231086,rehabilitation_center,"{""type""=>""name"", ""properties""=>{""name""=>""urn:ogc:def:crs:OGC:1.3:CRS84""}}",Location of flood shelters,Flood Shelters,"Shared by EV&DM, GHMC",Geocoordinates generated via Google API; accurate location verification is pending,As of July 2018 ,1
